,weight,total_gross_income,pitax,table_row
6441,10.0,0.0,0.0,2
6440,10.0,0.0,0.0,2
6456,10.0,0.0,0.0,2
6498,10.0,0.0,0.0,2
6509,10.0,0.0,0.0,2
14796,10.0,0.0,0.0,2
2370,10.0,0.0,0.0,2
14659,10.0,0.0,0.0,2
14660,10.0,0.0,0.0,2
14672,10.0,0.0,0.0,2
14677,10.0,0.0,0.0,2
6548,10.0,0.0,0.0,2
14710,10.0,0.0,0.0,2
6546,10.0,0.0,0.0,2
6537,10.0,0.0,0.0,2
2383,10.0,0.0,0.0,2
6536,10.0,0.0,0.0,2
14732,10.0,0.0,0.0,2
14751,10.0,0.0,0.0,2
14776,10.0,0.0,0.0,2
14788,10.0,0.0,0.0,2
2390,10.0,0.0,0.0,2
6516,10.0,0.0,0.0,2
14791,10.0,0.0,0.0,2
14794,10.0,0.0,0.0,2
6564,10.0,0.0,0.0,2
15767,10.0,0.0,0.0,2
7240,10.0,0.0,0.0,2
7251,10.0,0.0,0.0,2
10270,10.0,0.0,0.0,2
7972,10.0,0.0,0.0,2
10298,10.0,0.0,0.0,2
7967,10.0,0.0,0.0,2
10326,10.0,0.0,0.0,2
1680,10.0,0.0,0.0,2
7958,10.0,0.0,0.0,2
10343,10.0,0.0,0.0,2
10260,10.0,0.0,0.0,2
1684,10.0,0.0,0.0,2
10347,10.0,0.0,0.0,2
1687,10.0,0.0,0.0,2
10363,10.0,0.0,0.0,2
7949,10.0,0.0,0.0,2
10374,10.0,0.0,0.0,2
10389,10.0,0.0,0.0,2
10403,10.0,0.0,0.0,2
7937,10.0,0.0,0.0,2
10344,10.0,0.0,0.0,2
10413,10.0,0.0,0.0,2
10257,10.0,0.0,0.0,2
1668,10.0,0.0,0.0,2
8061,10.0,0.0,0.0,2
9974,10.0,0.0,0.0,2
9982,10.0,0.0,0.0,2
10006,10.0,0.0,0.0,2
10014,10.0,0.0,0.0,2
10033,10.0,0.0,0.0,2
10071,10.0,0.0,0.0,2
10085,10.0,0.0,0.0,2
10252,10.0,0.0,0.0,2
8023,10.0,0.0,0.0,2
8014,10.0,0.0,0.0,2
10180,10.0,0.0,0.0,2
8005,10.0,0.0,0.0,2
8003,10.0,0.0,0.0,2
10191,10.0,0.0,0.0,2
7992,10.0,0.0,0.0,2
10236,10.0,0.0,0.0,2
7985,10.0,0.0,0.0,2
10126,10.0,0.0,0.0,2
10418,10.0,0.0,0.0,2
7932,10.0,0.0,0.0,2
10431,10.0,0.0,0.0,2
7860,10.0,0.0,0.0,2
7857,10.0,0.0,0.0,2
10701,10.0,0.0,0.0,2
10708,10.0,0.0,0.0,2
10709,10.0,0.0,0.0,2
10712,10.0,0.0,0.0,2
10743,10.0,0.0,0.0,2
10755,10.0,0.0,0.0,2
10685,10.0,0.0,0.0,2
7845,10.0,0.0,0.0,2
7842,10.0,0.0,0.0,2
10775,10.0,0.0,0.0,2
7838,10.0,0.0,0.0,2
10792,10.0,0.0,0.0,2
10813,10.0,0.0,0.0,2
10860,10.0,0.0,0.0,2
7819,10.0,0.0,0.0,2
1750,10.0,0.0,0.0,2
10762,10.0,0.0,0.0,2
10678,10.0,0.0,0.0,2
1729,10.0,0.0,0.0,2
10672,10.0,0.0,0.0,2
10442,10.0,0.0,0.0,2
10444,10.0,0.0,0.0,2
10450,10.0,0.0,0.0,2
10464,10.0,0.0,0.0,2
10491,10.0,0.0,0.0,2
10498,10.0,0.0,0.0,2
10501,10.0,0.0,0.0,2
10520,10.0,0.0,0.0,2
10521,10.0,0.0,0.0,2
10544,10.0,0.0,0.0,2
10557,10.0,0.0,0.0,2
10587,10.0,0.0,0.0,2
7883,10.0,0.0,0.0,2
10626,10.0,0.0,0.0,2
10636,10.0,0.0,0.0,2
10637,10.0,0.0,0.0,2
10643,10.0,0.0,0.0,2
7872,10.0,0.0,0.0,2
10645,10.0,0.0,0.0,2
9969,10.0,0.0,0.0,2
8064,10.0,0.0,0.0,2
8065,10.0,0.0,0.0,2
9962,10.0,0.0,0.0,2
9344,10.0,0.0,0.0,2
1519,10.0,0.0,0.0,2
1523,10.0,0.0,0.0,2
1526,10.0,0.0,0.0,2
1528,10.0,0.0,0.0,2
1529,10.0,0.0,0.0,2
1530,10.0,0.0,0.0,2
9352,10.0,0.0,0.0,2
1514,10.0,0.0,0.0,2
1534,10.0,0.0,0.0,2
9365,10.0,0.0,0.0,2
1552,10.0,0.0,0.0,2
9385,10.0,0.0,0.0,2
9386,10.0,0.0,0.0,2
9403,10.0,0.0,0.0,2
9406,10.0,0.0,0.0,2
9408,10.0,0.0,0.0,2
9433,10.0,0.0,0.0,2
9364,10.0,0.0,0.0,3
9304,10.0,0.0,0.0,3
1503,10.0,0.0,0.0,3
1502,10.0,0.0,0.0,3
1439,10.0,0.0,0.0,3
9235,10.0,0.0,0.0,3
1445,10.0,0.0,0.0,3
1446,10.0,0.0,0.0,3
9237,10.0,0.0,0.0,3
9252,10.0,0.0,0.0,3
1458,10.0,0.0,0.0,3
1459,10.0,0.0,0.0,3
1463,10.0,0.0,0.0,3
1465,10.0,0.0,0.0,3
1470,10.0,0.0,0.0,3
9270,10.0,0.0,0.0,3
1476,10.0,0.0,0.0,3
1482,10.0,0.0,0.0,3
9294,10.0,0.0,0.0,3
1487,10.0,0.0,0.0,3
1491,10.0,0.0,0.0,3
1492,10.0,0.0,0.0,3
1497,10.0,0.0,0.0,3
9436,10.0,0.0,0.0,3
10876,10.0,0.0,0.0,3
9443,10.0,0.0,0.0,3
8195,10.0,0.0,0.0,3
9739,10.0,0.0,0.0,3
9756,10.0,0.0,0.0,3
9773,10.0,0.0,0.0,3
9827,10.0,0.0,0.0,3
